date,ma_max_temp,ma_rain,avg_price
2016/10/02,27.89144737,6.161842105,2230
2016/10/03,27.92236842,6.230921053,2230
2016/10/04,27.93289474,6.228289474,2230
2016/10/05,27.94539474,6.616447368,2230
2016/10/06,27.95197368,6.620394737,2410
2016/10/07,27.93947368,6.666447368,2410
2016/10/08,27.92960526,6.809868421,2410
2016/10/09,27.93618421,6.673026316,2410
2016/10/10,27.92039474,6.663815789,2410
2016/10/11,27.89210526,6.663815789,2370
2016/10/12,27.88618421,6.663157895,2370
2016/10/13,27.86184211,6.663157895,2370
2016/10/14,27.85657895,6.589473684,2410
2016/10/15,27.875,6.549342105,2410
2016/10/16,27.82302632,6.681578947,2410
2016/10/17,27.78486842,6.686842105,2370
2016/10/18,27.74473684,6.688815789,2370
2016/10/19,27.71381579,6.688815789,2370
2016/10/20,27.68026316,6.694078947,2270
2016/10/21,27.62039474,6.705921053,2220
2016/10/22,27.57697368,6.710526316,2220
2016/10/23,27.55526316,6.594736842,2220
2016/10/24,27.51447368,6.596710526,2220
2016/10/25,27.47105263,6.686184211,2240
2016/10/26,27.41315789,6.6875,2300
2016/10/27,27.36381579,6.675657895,2260
2016/10/28,27.30263158,6.705263158,2120
2016/10/29,27.20986842,6.740789474,2120
2016/10/30,27.12565789,6.764473684,2120
2016/10/31,27.03157895,6.768421053,2250
2016/11/01,26.92039474,6.8125,2250
2016/11/02,26.81381579,6.815131579,2310
2016/11/03,26.76052632,6.766447368,2360
2016/11/04,26.69802632,6.765789474,2340
2016/11/05,26.67960526,6.767105263,2340
2016/11/06,26.61973684,6.806578947,2340
2016/11/07,26.57368421,6.802631579,2340
2016/11/08,26.475,6.814473684,2330
2016/11/09,26.35657895,6.838157895,2330
2016/11/10,26.25131579,6.845394737,2290
2016/11/11,26.17894737,6.8375,2290
2016/11/12,26.11907895,6.830263158,2290
2016/11/13,26.05986842,6.859210526,2290
2016/11/14,26.01907895,6.847368421,2300
2016/11/15,25.95065789,6.825657895,2340
2016/11/16,25.85328947,6.825,2340
2016/11/17,25.76710526,6.809210526,2260
2016/11/18,25.68092105,6.872368421,2450
2016/11/19,25.60921053,6.811184211,2450
2016/11/20,25.54078947,6.801973684,2450
2016/11/21,25.46447368,6.7375,2450
2016/11/22,25.34473684,6.747368421,2470
2016/11/23,25.23026316,6.559868421,2470
2016/11/24,25.09144737,6.582236842,2510
2016/11/25,24.95394737,6.582236842,2490
2016/11/26,24.81052632,6.583552632,2490
2016/11/27,24.69013158,6.553947368,2490
2016/11/28,24.57236842,6.540789474,2490
2016/11/29,24.44868421,6.538157895,2490
2016/11/30,24.34210526,6.215789474,2440
2016/12/01,24.23815789,6.047368421,2460
2016/12/02,24.14013158,5.868421053,2460
2016/12/03,24.05789474,5.521710526,2460
2016/12/04,23.94013158,5.286184211,2460
2016/12/05,23.84934211,5.132236842,2460
2016/12/06,23.70328947,5.157236842,2460
2016/12/07,23.55065789,5.143421053,2460
2016/12/08,23.40526316,5.149342105,2480
2016/12/09,23.26315789,5.142105263,2500
2016/12/10,23.11447368,5.168421053,2500
2016/12/11,22.98421053,5.101973684,2500
2016/12/12,22.85592105,5.094736842,2500
2016/12/13,22.72697368,5.068421053,2500
2016/12/14,22.57039474,5.090131579,2500
2016/12/15,22.43157895,4.915789474,2460
2016/12/16,22.27368421,4.915131579,2460
2016/12/17,22.15065789,4.910526316,2460
2016/12/18,22.02565789,4.907236842,2460
2016/12/19,21.90131579,4.945394737,2440
2016/12/20,21.79342105,4.948026316,2600
2016/12/21,21.68552632,5.105921053,2720
2016/12/22,21.58355263,5.170394737,2720
2016/12/23,21.40657895,5.111184211,2560
2016/12/24,21.22763158,5.039473684,2560
2016/12/25,21.07631579,5.031578947,2560
2016/12/26,20.91052632,5.092105263,2560
2016/12/27,20.72828947,5.098684211,2560
2016/12/28,20.55131579,5.005921053,2520
2016/12/29,20.34934211,4.959210526,2560
2016/12/30,20.16052632,4.905263158,2600
2016/12/31,19.99144737,4.866447368,2600
2017/01/01,19.85197368,4.830921053,2600
2017/01/02,19.71973684,4.802631579,2580
2017/01/03,19.56907895,4.756578947,2640
2017/01/04,19.41842105,4.739473684,2560
2017/01/05,19.25263158,4.747368421,2520
2017/01/06,19.1,4.696710526,2520
2017/01/07,18.93815789,4.618421053,2520
2017/01/08,18.80263158,4.606578947,2520
2017/01/09,18.63355263,4.609210526,2450
2017/01/10,18.43421053,4.609210526,2450
2017/01/11,18.22105263,4.609868421,2430
2017/01/12,18.02894737,4.611184211,2270
2017/01/13,17.82302632,4.589473684,2320
2017/01/14,17.59342105,4.561842105,2320
2017/01/15,17.38881579,4.536184211,2320
2017/01/16,17.2,4.534210526,2270
2017/01/17,17.01907895,4.521052632,2270
2017/01/18,16.83881579,4.506578947,2270
2017/01/19,16.66184211,4.488157895,2270
2017/01/20,16.45197368,4.504605263,2480
2017/01/21,16.24342105,4.492763158,2480
2017/01/22,16.03486842,4.471710526,2480
2017/01/23,15.81118421,4.480921053,2500
2017/01/24,15.60197368,4.457894737,2540
2017/01/25,15.44539474,4.382236842,2540
2017/01/26,15.31447368,4.375657895,2500
2017/01/27,15.20657895,4.218421053,2500
2017/01/28,15.09736842,4.151973684,2500
2017/01/29,14.97631579,4.155921053,2500
2017/01/30,14.83355263,4.115131579,2500
2017/01/31,14.66184211,4.105263158,2500
2017/02/01,14.52894737,3.892105263,2500
2017/02/02,14.39144737,3.686184211,2480
2017/02/03,14.25657895,3.657236842,2480
2017/02/04,14.13157895,3.65,2480
2017/02/05,14.00065789,3.661184211,2480
2017/02/06,13.84934211,3.685526316,2440
2017/02/07,13.70657895,3.654605263,2400
2017/02/08,13.55657895,3.639473684,2400
2017/02/09,13.38486842,3.599342105,2400
2017/02/10,13.20328947,3.609868421,2400
2017/02/11,13.04671053,3.565131579,2400
2017/02/12,12.89736842,3.567105263,2400
2017/02/13,12.76381579,3.563157895,2440
2017/02/14,12.62894737,3.559868421,2460
2017/02/15,12.53552632,3.516447368,2460
2017/02/16,12.47960526,2.957894737,2460
2017/02/17,12.40921053,2.917763158,2460
2017/02/18,12.28552632,2.930921053,2460
